Data,Label
0.481722,Notstressed
0.481722,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.485566,Notstressed
0.481722,Notstressed
0.47916,Notstressed
0.484285,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.483004,Notstressed
0.484285,Notstressed
0.483004,Notstressed
0.484285,Notstressed
0.484285,Notstressed
0.481722,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.480441,Notstressed
0.483004,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.486847,Notstressed
0.480441,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.481722,Notstressed
0.483004,Notstressed
0.481722,Notstressed
0.480441,Notstressed
0.484285,Notstressed
0.480441,Notstressed
0.47916,Notstressed
0.483004,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.480441,Notstressed
0.47916,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.483004,Notstressed
0.481722,Notstressed
0.480441,Notstressed
0.47916,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.484285,Notstressed
0.47916,Notstressed
0.47916,Notstressed
0.47916,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.47916,Notstressed
0.47916,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.483004,Notstressed
0.483004,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.483004,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.47916,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.481722,Notstressed
0.480441,Notstressed
0.480441,Notstressed
0.481722,Notstressed
0.483004,Notstressed
0.484285,Notstressed
0.485566,Notstressed
0.484285,Notstressed
0.484285,Notstressed
0.488128,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.491972,Notstressed
0.490691,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.490691,Notstressed
0.48941,Notstressed
0.491972,Notstressed
0.48941,Notstressed
0.491972,Notstressed
0.491972,Notstressed
0.486847,Notstressed
0.48941,Notstressed
0.488128,Notstressed
0.48941,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.48941,Notstressed
0.488128,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.488128,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.488128,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.488128,Notstressed
0.485566,Notstressed
0.484285,Notstressed
0.486847,Notstressed
0.486847,Notstressed
0.48941,Notstressed
0.488128,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.490691,Notstressed
0.486847,Notstressed
0.488128,Notstressed
0.485566,Notstressed
0.484285,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.488128,Notstressed
0.484285,Notstressed
0.485566,Notstressed
0.484285,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.486847,Notstressed
0.484285,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.485566,Notstressed
0.486847,Notstressed
0.485566,Notstressed
0.488128,Notstressed
0.485566,Notstressed
0.486847,Notstressed
0.488128,Notstressed
0.488128,Notstressed
0.488128,Notstressed
0.488128,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.48941,Notstressed
0.488128,Notstressed
0.491972,Notstressed
